aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Midday (10:00-16:00),67
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Morning (08:00-12:00),34
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,PM Peak Period (16:00-19:00),102
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,14 Hour,238
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Afternoon (12:00-17:00),64
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,AM Peak Period (07:00-10:00),98
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Evening (17:00-22:00),56
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Midday (10:00-16:00),72
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,Morning (08:00-12:00),101
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,WB,PM Peak Period (16:00-19:00),48
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,14 Hour,5401
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Afternoon (12:00-17:00),1799
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,AM Peak Period (07:00-10:00),1425
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Evening (17:00-22:00),1739
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Midday (10:00-16:00),2124
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,Morning (08:00-12:00),1761
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,EB,PM Peak Period (16:00-19:00),1519
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,14 Hour,7649
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Afternoon (12:00-17:00),3579
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,AM Peak Period (07:00-10:00),1167
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Evening (17:00-22:00),2633
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Midday (10:00-16:00),3508
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,Morning (08:00-12:00),1750
Apr 2018,13466630,King St E / Jarvis St,3,Pedestrians,WB,PM Peak Period (16:00-19:00),2538
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,14 Hour,721
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Afternoon (12:00-17:00),317
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,AM Peak Period (07:00-10:00),83
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Evening (17:00-22:00),298
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Midday (10:00-16:00),366
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,Morning (08:00-12:00),181
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,EB,PM Peak Period (16:00-19:00),206
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,14 Hour,396
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Afternoon (12:00-17:00),151
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,AM Peak Period (07:00-10:00),79
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Evening (17:00-22:00),159
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Midday (10:00-16:00),189
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,Morning (08:00-12:00),123
Apr 2018,13466630,King St E / Jarvis St,3,Vehicles,WB,PM Peak Period (16:00-19:00),80
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,14 Hour,869
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Afternoon (12:00-17:00),234
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,AM Peak Period (07:00-10:00),266
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Evening (17:00-22:00),329
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Midday (10:00-16:00),228
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,Morning (08:00-12:00),302
Apr 2018,13466743,Bay St / Adelaide St W,62,Cyclists,EB,PM Peak Period (16:00-19:00),301
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,14 Hour,6537
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Afternoon (12:00-17:00),2581
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,AM Peak Period (07:00-10:00),1686
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Evening (17:00-22:00),1898
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Midday (10:00-16:00),2754
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,Morning (08:00-12:00),2071
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,EB,PM Peak Period (16:00-19:00),1748
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,14 Hour,6289
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Afternoon (12:00-17:00),2557
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,AM Peak Period (07:00-10:00),1257
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Evening (17:00-22:00),2159
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Midday (10:00-16:00),2560
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,Morning (08:00-12:00),1690
Apr 2018,13466743,Bay St / Adelaide St W,62,Pedestrians,WB,PM Peak Period (16:00-19:00),2094
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,14 Hour,15650
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Afternoon (12:00-17:00),5983
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,AM Peak Period (07:00-10:00),3437
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Evening (17:00-22:00),5565
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Midday (10:00-16:00),6825
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,Morning (08:00-12:00),4558
Apr 2018,13466743,Bay St / Adelaide St W,62,Vehicles,EB,PM Peak Period (16:00-19:00),3672
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,14 Hour,108
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,Afternoon (12:00-17:00),38
Apr 2018,13466793,Jarvis St / Lower Jarvis St / Front St E,2,Cyclists,EB,AM Peak Period (07:00-10:00),13
