centreline_id,lf_name,from_to,dir,datetime_bin,volume
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 03:00:00,19
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 12:15:00,57
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 02:45:00,34
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 15:00:00,48
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 02:30:00,33
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 12:30:00,52
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 02:15:00,35
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 14:45:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 02:00:00,30
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 12:45:00,54
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 01:45:00,27
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 14:30:00,61
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 01:30:00,31
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 13:00:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 01:15:00,38
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 14:15:00,75
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 01:00:00,45
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 13:15:00,60
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 00:45:00,33
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 14:00:00,58
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 00:30:00,43
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 13:30:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 00:15:00,29
